# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.847
 8.8571      0.026          9.423
 8.7857      0.032         10.974
 8.7143      0.038         12.494
 8.6429      0.045         13.979
 8.5714      0.051         15.422
 8.5000      0.057         16.813
 8.4286      0.063         18.140
 8.3571      0.069         19.384
 8.2857      0.075         20.515
 8.2143      0.082         21.481
 8.1429      0.088         22.183
 8.0714      0.094         22.369
 8.0000      0.100         20.791
