# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.461
 8.8571      0.026         11.306
 8.7857      0.032         14.113
 8.7143      0.038         16.874
 8.6429      0.045         19.581
 8.5714      0.051         22.224
 8.5000      0.057         24.788
 8.4286      0.063         27.252
 8.3571      0.069         29.585
 8.2857      0.075         31.738
 8.2143      0.082         33.624
 8.1429      0.088         35.064
 8.0714      0.094         35.560
 8.0000      0.100         30.891
