# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.903
 8.8571      0.026          9.887
 8.7857      0.032         11.839
 8.7143      0.038         13.755
 8.6429      0.045         15.629
 8.5714      0.051         17.451
 8.5000      0.057         19.212
 8.4286      0.063         20.894
 8.3571      0.069         22.475
 8.2857      0.075         23.918
 8.2143      0.082         25.160
 8.1429      0.088         26.076
 8.0714      0.094         26.338
 8.0000      0.100         24.085
