# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.829
 8.8571      0.026         10.130
 8.7857      0.032         12.398
 8.7143      0.038         14.627
 8.6429      0.045         16.810
 8.5714      0.051         18.938
 8.5000      0.057         20.999
 8.4286      0.063         22.976
 8.3571      0.069         24.841
 8.2857      0.075         26.554
 8.2143      0.082         28.043
 8.1429      0.088         29.161
 8.0714      0.094         29.509
 8.0000      0.100         26.203
