# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.581
 8.8571      0.026          8.972
 8.7857      0.032         10.340
 8.7143      0.038         11.681
 8.6429      0.045         12.990
 8.5714      0.051         14.261
 8.5000      0.057         15.485
 8.4286      0.063         16.652
 8.3571      0.069         17.743
 8.2857      0.075         18.733
 8.2143      0.082         19.577
 8.1429      0.088         20.187
 8.0714      0.094         20.348
 8.0000      0.100         19.084
