# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.196
 8.8571      0.026         11.515
 8.7857      0.032         14.791
 8.7143      0.038         18.017
 8.6429      0.045         21.185
 8.5714      0.051         24.281
 8.5000      0.057         27.291
 8.4286      0.063         30.191
 8.3571      0.069         32.946
 8.2857      0.075         35.503
 8.2143      0.082         37.762
 8.1429      0.088         39.522
 8.0714      0.094         40.211
 8.0000      0.100         34.038
