# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.836
 8.8571      0.026         12.792
 8.7857      0.032         16.701
 8.7143      0.038         20.552
 8.6429      0.045         24.337
 8.5714      0.051         28.041
 8.5000      0.057         31.645
 8.4286      0.063         35.124
 8.3571      0.069         38.436
 8.2857      0.075         41.520
 8.2143      0.082         44.262
 8.1429      0.088         46.426
 8.0714      0.094         47.341
 8.0000      0.100         39.373
