# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.967
 8.8571      0.026         10.628
 8.7857      0.032         13.253
 8.7143      0.038         15.835
 8.6429      0.045         18.366
 8.5714      0.051         20.836
 8.5000      0.057         23.230
 8.4286      0.063         25.530
 8.3571      0.069         27.707
 8.2857      0.075         29.712
 8.2143      0.082         31.466
 8.1429      0.088         32.801
 8.0714      0.094         33.252
 8.0000      0.100         29.041
