# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.952
 8.8571      0.026         10.196
 8.7857      0.032         12.407
 8.7143      0.038         14.579
 8.6429      0.045         16.707
 8.5714      0.051         18.780
 8.5000      0.057         20.787
 8.4286      0.063         22.711
 8.3571      0.069         24.525
 8.2857      0.075         26.190
 8.2143      0.082         27.635
 8.1429      0.088         28.715
 8.0714      0.094         29.043
 8.0000      0.100         25.904
