# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.010
 8.8571      0.026         10.822
 8.7857      0.032         13.595
 8.7143      0.038         16.323
 8.6429      0.045         18.999
 8.5714      0.051         21.611
 8.5000      0.057         24.145
 8.4286      0.063         26.581
 8.3571      0.069         28.888
 8.2857      0.075         31.018
 8.2143      0.082         32.885
 8.1429      0.088         34.313
 8.0714      0.094         34.813
 8.0000      0.100         30.186
