# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.873
 8.8571      0.026          9.348
 8.7857      0.032         10.799
 8.7143      0.038         12.221
 8.6429      0.045         13.609
 8.5714      0.051         14.957
 8.5000      0.057         16.255
 8.4286      0.063         17.493
 8.3571      0.069         18.651
 8.2857      0.075         19.702
 8.2143      0.082         20.599
 8.1429      0.088         21.248
 8.0714      0.094         21.420
 8.0000      0.100         20.057
