# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.956
 8.8571      0.026         10.027
 8.7857      0.032         12.067
 8.7143      0.038         14.071
 8.6429      0.045         16.032
 8.5714      0.051         17.941
 8.5000      0.057         19.788
 8.4286      0.063         21.556
 8.3571      0.069         23.221
 8.2857      0.075         24.746
 8.2143      0.082         26.063
 8.1429      0.088         27.041
 8.0714      0.094         27.323
 8.0000      0.100         24.626
