# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.361
 8.8571      0.026         11.526
 8.7857      0.032         12.670
 8.7143      0.038         13.792
 8.6429      0.045         14.886
 8.5714      0.051         15.948
 8.5000      0.057         16.970
 8.4286      0.063         17.942
 8.3571      0.069         18.848
 8.2857      0.075         19.666
 8.2143      0.082         20.357
 8.1429      0.088         20.842
 8.0714      0.094         20.937
 8.0000      0.100         19.866
