# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.311
 8.8571      0.026         11.569
 8.7857      0.032         14.786
 8.7143      0.038         17.953
 8.6429      0.045         21.062
 8.5714      0.051         24.100
 8.5000      0.057         27.053
 8.4286      0.063         29.897
 8.3571      0.069         32.598
 8.2857      0.075         35.101
 8.2143      0.082         37.311
 8.1429      0.088         39.027
 8.0714      0.094         39.686
 8.0000      0.100         33.727
