# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.728
 8.8571      0.026          9.324
 8.7857      0.032         10.898
 8.7143      0.038         12.446
 8.6429      0.045         13.963
 8.5714      0.051         15.442
 8.5000      0.057         16.875
 8.4286      0.063         18.250
 8.3571      0.069         19.548
 8.2857      0.075         20.740
 8.2143      0.082         21.774
 8.1429      0.088         22.544
 8.0714      0.094         22.754
 8.0000      0.100         20.259
