# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.286
 8.8571      0.026         11.678
 8.7857      0.032         15.027
 8.7143      0.038         18.326
 8.6429      0.045         21.566
 8.5714      0.051         24.734
 8.5000      0.057         27.815
 8.4286      0.063         30.784
 8.3571      0.069         33.607
 8.2857      0.075         36.228
 8.2143      0.082         38.549
 8.1429      0.088         40.362
 8.0714      0.094         41.086
 8.0000      0.100         34.624
