# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.883
 8.8571      0.026         10.270
 8.7857      0.032         12.625
 8.7143      0.038         14.942
 8.6429      0.045         17.213
 8.5714      0.051         19.429
 8.5000      0.057         21.578
 8.4286      0.063         23.642
 8.3571      0.069         25.595
 8.2857      0.075         27.395
 8.2143      0.082         28.967
 8.1429      0.088         30.161
 8.0714      0.094         30.552
 8.0000      0.100         26.714
