# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.517
 8.8571      0.026          9.918
 8.7857      0.032         12.286
 8.7143      0.038         14.614
 8.6429      0.045         16.895
 8.5714      0.051         19.120
 8.5000      0.057         21.277
 8.4286      0.063         23.347
 8.3571      0.069         25.304
 8.2857      0.075         27.106
 8.2143      0.082         28.678
 8.1429      0.088         29.868
 8.0714      0.094         30.258
 8.0000      0.100         26.589
