# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.004
 8.8571      0.026         10.929
 8.7857      0.032         13.816
 8.7143      0.038         16.656
 8.6429      0.045         19.443
 8.5714      0.051         22.164
 8.5000      0.057         24.805
 8.4286      0.063         27.346
 8.3571      0.069         29.754
 8.2857      0.075         31.980
 8.2143      0.082         33.935
 8.1429      0.088         35.438
 8.0714      0.094         35.981
 8.0000      0.100         31.005
