# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.616
 8.8571      0.026          8.963
 8.7857      0.032         10.287
 8.7143      0.038         11.585
 8.6429      0.045         12.850
 8.5714      0.051         14.078
 8.5000      0.057         15.259
 8.4286      0.063         16.384
 8.3571      0.069         17.435
 8.2857      0.075         18.386
 8.2143      0.082         19.196
 8.1429      0.088         19.782
 8.0714      0.094         19.948
 8.0000      0.100         18.874
