# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.806
 8.8571      0.026          9.235
 8.7857      0.032         10.638
 8.7143      0.038         12.014
 8.6429      0.045         13.358
 8.5714      0.051         14.662
 8.5000      0.057         15.918
 8.4286      0.063         17.115
 8.3571      0.069         18.235
 8.2857      0.075         19.251
 8.2143      0.082         20.116
 8.1429      0.088         20.742
 8.0714      0.094         20.908
 8.0000      0.100         19.615
