# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.022
 8.8571      0.026         10.932
 8.7857      0.032         13.803
 8.7143      0.038         16.631
 8.6429      0.045         19.407
 8.5714      0.051         22.120
 8.5000      0.057         24.757
 8.4286      0.063         27.296
 8.3571      0.069         29.707
 8.2857      0.075         31.941
 8.2143      0.082         33.912
 8.1429      0.088         35.439
 8.0714      0.094         36.015
 8.0000      0.100         30.670
