# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.755
 8.8571      0.026          9.349
 8.7857      0.032         10.917
 8.7143      0.038         12.455
 8.6429      0.045         13.957
 8.5714      0.051         15.417
 8.5000      0.057         16.825
 8.4286      0.063         18.169
 8.3571      0.069         19.429
 8.2857      0.075         20.574
 8.2143      0.082         21.555
 8.1429      0.088         22.268
 8.0714      0.094         22.457
 8.0000      0.100         20.824
