# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.049
 8.8571      0.026         10.997
 8.7857      0.032         13.905
 8.7143      0.038         16.767
 8.6429      0.045         19.575
 8.5714      0.051         22.317
 8.5000      0.057         24.978
 8.4286      0.063         27.538
 8.3571      0.069         29.964
 8.2857      0.075         32.207
 8.2143      0.082         34.177
 8.1429      0.088         35.691
 8.0714      0.094         36.238
 8.0000      0.100         31.227
