# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          5.347
 8.8571      0.026          7.244
 8.7857      0.032          9.114
 8.7143      0.038         10.951
 8.6429      0.045         12.750
 8.5714      0.051         14.504
 8.5000      0.057         16.203
 8.4286      0.063         17.831
 8.3571      0.069         19.369
 8.2857      0.075         20.783
 8.2143      0.082         22.014
 8.1429      0.088         22.945
 8.0714      0.094         23.256
 8.0000      0.100         20.611
