# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.833
 8.8571      0.026         12.536
 8.7857      0.032         16.192
 8.7143      0.038         19.796
 8.6429      0.045         23.336
 8.5714      0.051         26.800
 8.5000      0.057         30.169
 8.4286      0.063         33.420
 8.3571      0.069         36.515
 8.2857      0.075         39.392
 8.2143      0.082         41.947
 8.1429      0.088         43.956
 8.0714      0.094         44.784
 8.0000      0.100         37.435
