# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.838
 8.8571      0.026         10.120
 8.7857      0.032         12.367
 8.7143      0.038         14.574
 8.6429      0.045         16.734
 8.5714      0.051         18.838
 8.5000      0.057         20.873
 8.4286      0.063         22.821
 8.3571      0.069         24.657
 8.2857      0.075         26.340
 8.2143      0.082         27.796
 8.1429      0.088         28.883
 8.0714      0.094         29.214
 8.0000      0.100         26.261
