# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.865
 8.8571      0.026          9.439
 8.7857      0.032         10.987
 8.7143      0.038         12.506
 8.6429      0.045         13.989
 8.5714      0.051         15.430
 8.5000      0.057         16.820
 8.4286      0.063         18.146
 8.3571      0.069         19.388
 8.2857      0.075         20.518
 8.2143      0.082         21.483
 8.1429      0.088         22.185
 8.0714      0.094         22.369
 8.0000      0.100         20.782
