# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.395
 8.8571      0.026         11.381
 8.7857      0.032         14.331
 8.7143      0.038         17.238
 8.6429      0.045         20.094
 8.5714      0.051         22.889
 8.5000      0.057         25.609
 8.4286      0.063         28.234
 8.3571      0.069         30.732
 8.2857      0.075         33.055
 8.2143      0.082         35.117
 8.1429      0.088         36.734
 8.0714      0.094         37.385
 8.0000      0.100         31.343
