# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.978
 8.8571      0.026         10.671
 8.7857      0.032         13.326
 8.7143      0.038         15.937
 8.6429      0.045         18.498
 8.5714      0.051         20.998
 8.5000      0.057         23.422
 8.4286      0.063         25.751
 8.3571      0.069         27.956
 8.2857      0.075         29.990
 8.2143      0.082         31.771
 8.1429      0.088         33.128
 8.0714      0.094         33.594
 8.0000      0.100         29.241
