# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.725
 8.8571      0.026          9.604
 8.7857      0.032         11.454
 8.7143      0.038         13.272
 8.6429      0.045         15.051
 8.5714      0.051         16.784
 8.5000      0.057         18.460
 8.4286      0.063         20.064
 8.3571      0.069         21.575
 8.2857      0.075         22.958
 8.2143      0.082         24.152
 8.1429      0.088         25.036
 8.0714      0.094         25.283
 8.0000      0.100         22.798
