# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.052
 8.8571      0.026         10.655
 8.7857      0.032         13.222
 8.7143      0.038         15.748
 8.6429      0.045         18.223
 8.5714      0.051         20.639
 8.5000      0.057         22.981
 8.4286      0.063         25.231
 8.3571      0.069         27.360
 8.2857      0.075         29.322
 8.2143      0.082         31.037
 8.1429      0.088         32.341
 8.0714      0.094         32.778
 8.0000      0.100         28.635
