# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.096
 8.8571      0.026         12.384
 8.7857      0.032         16.623
 8.7143      0.038         20.803
 8.6429      0.045         24.913
 8.5714      0.051         28.940
 8.5000      0.057         32.863
 8.4286      0.063         36.656
 8.3571      0.069         40.277
 8.2857      0.075         43.659
 8.2143      0.082         46.686
 8.1429      0.088         49.109
 8.0714      0.094         50.222
 8.0000      0.100         40.942
