# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         12.396
 8.8571      0.026         16.003
 8.7857      0.032         19.566
 8.7143      0.038         23.077
 8.6429      0.045         26.525
 8.5714      0.051         29.899
 8.5000      0.057         33.180
 8.4286      0.063         36.344
 8.3571      0.069         39.353
 8.2857      0.075         42.147
 8.2143      0.082         44.616
 8.1429      0.088         46.536
 8.0714      0.094         47.258
 8.0000      0.100         40.093
