# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         11.393
 8.8571      0.026         14.834
 8.7857      0.032         18.232
 8.7143      0.038         21.579
 8.6429      0.045         24.867
 8.5714      0.051         28.083
 8.5000      0.057         31.211
 8.4286      0.063         34.226
 8.3571      0.069         37.092
 8.2857      0.075         39.751
 8.2143      0.082         42.101
 8.1429      0.088         43.927
 8.0714      0.094         44.611
 8.0000      0.100         37.878
