# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.311
 8.8571      0.026         11.343
 8.7857      0.032         14.335
 8.7143      0.038         17.281
 8.6429      0.045         20.171
 8.5714      0.051         22.995
 8.5000      0.057         25.737
 8.4286      0.063         28.376
 8.3571      0.069         30.879
 8.2857      0.075         33.196
 8.2143      0.082         35.235
 8.1429      0.088         36.808
 8.0714      0.094         37.387
 8.0000      0.100         32.040
