# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.072
 8.8571      0.026         11.058
 8.7857      0.032         14.004
 8.7143      0.038         16.904
 8.6429      0.045         19.749
 8.5714      0.051         22.529
 8.5000      0.057         25.227
 8.4286      0.063         27.824
 8.3571      0.069         30.287
 8.2857      0.075         32.565
 8.2143      0.082         34.569
 8.1429      0.088         36.114
 8.0714      0.094         36.680
 8.0000      0.100         31.485
