# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.709
 8.8571      0.026         14.127
 8.7857      0.032         17.493
 8.7143      0.038         20.800
 8.6429      0.045         24.035
 8.5714      0.051         27.186
 8.5000      0.057         30.234
 8.4286      0.063         33.153
 8.3571      0.069         35.903
 8.2857      0.075         38.424
 8.2143      0.082         40.609
 8.1429      0.088         42.246
 8.0714      0.094         42.765
 8.0000      0.100         38.440
