# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.836
 8.8571      0.026         12.546
 8.7857      0.032         16.211
 8.7143      0.038         19.823
 8.6429      0.045         23.371
 8.5714      0.051         26.842
 8.5000      0.057         30.220
 8.4286      0.063         33.478
 8.3571      0.069         36.580
 8.2857      0.075         39.465
 8.2143      0.082         42.026
 8.1429      0.088         44.040
 8.0714      0.094         44.872
 8.0000      0.100         37.498
