# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.714
 8.8571      0.026          9.529
 8.7857      0.032         11.315
 8.7143      0.038         13.067
 8.6429      0.045         14.778
 8.5714      0.051         16.442
 8.5000      0.057         18.047
 8.4286      0.063         19.579
 8.3571      0.069         21.017
 8.2857      0.075         22.326
 8.2143      0.082         23.450
 8.1429      0.088         24.274
 8.0714      0.094         24.509
 8.0000      0.100         22.652
