# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.601
 8.8571      0.026          8.960
 8.7857      0.032         10.296
 8.7143      0.038         11.605
 8.6429      0.045         12.883
 8.5714      0.051         14.123
 8.5000      0.057         15.317
 8.4286      0.063         16.455
 8.3571      0.069         17.519
 8.2857      0.075         18.483
 8.2143      0.082         19.305
 8.1429      0.088         19.898
 8.0714      0.094         20.055
 8.0000      0.100         18.856
