# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.923
 8.8571      0.026         13.023
 8.7857      0.032         17.071
 8.7143      0.038         21.058
 8.6429      0.045         24.973
 8.5714      0.051         28.801
 8.5000      0.057         32.523
 8.4286      0.063         36.111
 8.3571      0.069         39.522
 8.2857      0.075         42.690
 8.2143      0.082         45.497
 8.1429      0.088         47.695
 8.0714      0.094         48.592
 8.0000      0.100         40.862
