# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.718
 8.8571      0.026         12.341
 8.7857      0.032         15.917
 8.7143      0.038         19.441
 8.6429      0.045         22.901
 8.5714      0.051         26.286
 8.5000      0.057         29.577
 8.4286      0.063         32.750
 8.3571      0.069         35.768
 8.2857      0.075         38.571
 8.2143      0.082         41.054
 8.1429      0.088         42.997
 8.0714      0.094         43.780
 8.0000      0.100         36.819
