# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.556
 8.8571      0.026         11.992
 8.7857      0.032         15.385
 8.7143      0.038         18.728
 8.6429      0.045         22.010
 8.5714      0.051         25.221
 8.5000      0.057         28.342
 8.4286      0.063         31.351
 8.3571      0.069         34.212
 8.2857      0.075         36.869
 8.2143      0.082         39.220
 8.1429      0.088         41.058
 8.0714      0.094         41.790
 8.0000      0.100         35.214
