# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.427
 8.8571      0.026         11.228
 8.7857      0.032         13.991
 8.7143      0.038         16.708
 8.6429      0.045         19.373
 8.5714      0.051         21.973
 8.5000      0.057         24.496
 8.4286      0.063         26.920
 8.3571      0.069         29.215
 8.2857      0.075         31.331
 8.2143      0.082         33.184
 8.1429      0.088         34.596
 8.0714      0.094         35.079
 8.0000      0.100         30.531
