# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          6.085
 8.8571      0.026          7.744
 8.7857      0.032          9.383
 8.7143      0.038         10.999
 8.6429      0.045         12.587
 8.5714      0.051         14.141
 8.5000      0.057         15.653
 8.4286      0.063         17.112
 8.3571      0.069         18.500
 8.2857      0.075         19.790
 8.2143      0.082         20.933
 8.1429      0.088         21.824
 8.0714      0.094         22.163
 8.0000      0.100         18.760
