# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.293
 8.8571      0.026         11.831
 8.7857      0.032         15.323
 8.7143      0.038         18.764
 8.6429      0.045         22.143
 8.5714      0.051         25.448
 8.5000      0.057         28.662
 8.4286      0.063         31.761
 8.3571      0.069         34.708
 8.2857      0.075         37.446
 8.2143      0.082         39.872
 8.1429      0.088         41.773
 8.0714      0.094         42.544
 8.0000      0.100         35.742
