# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.575
 8.8571      0.026         10.022
 8.7857      0.032         11.444
 8.7143      0.038         12.836
 8.6429      0.045         14.194
 8.5714      0.051         15.511
 8.5000      0.057         16.778
 8.4286      0.063         17.983
 8.3571      0.069         19.108
 8.2857      0.075         20.127
 8.2143      0.082         20.992
 8.1429      0.088         21.618
 8.0714      0.094         21.797
 8.0000      0.100         20.699
