# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.556
 8.8571      0.026         12.242
 8.7857      0.032         15.883
 8.7143      0.038         19.470
 8.6429      0.045         22.994
 8.5714      0.051         26.442
 8.5000      0.057         29.796
 8.4286      0.063         33.031
 8.3571      0.069         36.111
 8.2857      0.075         38.975
 8.2143      0.082         41.516
 8.1429      0.088         43.515
 8.0714      0.094         44.342
 8.0000      0.100         37.067
