# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.902
 8.8571      0.026         10.169
 8.7857      0.032         12.404
 8.7143      0.038         14.601
 8.6429      0.045         16.752
 8.5714      0.051         18.848
 8.5000      0.057         20.878
 8.4286      0.063         22.824
 8.3571      0.069         24.660
 8.2857      0.075         26.346
 8.2143      0.082         27.810
 8.1429      0.088         28.907
 8.0714      0.094         29.244
 8.0000      0.100         26.023
