# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.394
 8.8571      0.026         12.348
 8.7857      0.032         16.255
 8.7143      0.038         20.109
 8.6429      0.045         23.898
 8.5714      0.051         27.610
 8.5000      0.057         31.226
 8.4286      0.063         34.721
 8.3571      0.069         38.057
 8.2857      0.075         41.171
 8.2143      0.082         43.954
 8.1429      0.088         46.175
 8.0714      0.094         47.173
 8.0000      0.100         38.639
