# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.944
 8.8571      0.026         10.641
 8.7857      0.032         13.302
 8.7143      0.038         15.920
 8.6429      0.045         18.488
 8.5714      0.051         20.995
 8.5000      0.057         23.427
 8.4286      0.063         25.764
 8.3571      0.069         27.978
 8.2857      0.075         30.022
 8.2143      0.082         31.813
 8.1429      0.088         33.182
 8.0714      0.094         33.657
 8.0000      0.100         29.196
