# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.926
 8.8571      0.026          9.490
 8.7857      0.032         11.029
 8.7143      0.038         12.538
 8.6429      0.045         14.011
 8.5714      0.051         15.443
 8.5000      0.057         16.823
 8.4286      0.063         18.139
 8.3571      0.069         19.372
 8.2857      0.075         20.492
 8.2143      0.082         21.449
 8.1429      0.088         22.144
 8.0714      0.094         22.327
 8.0000      0.100         20.791
