# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.705
 8.8571      0.026         12.456
 8.7857      0.032         16.161
 8.7143      0.038         19.812
 8.6429      0.045         23.399
 8.5714      0.051         26.908
 8.5000      0.057         30.321
 8.4286      0.063         33.614
 8.3571      0.069         36.748
 8.2857      0.075         39.663
 8.2143      0.082         42.250
 8.1429      0.088         44.285
 8.0714      0.094         45.126
 8.0000      0.100         37.720
