# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.014
 8.8571      0.026         10.929
 8.7857      0.032         13.805
 8.7143      0.038         16.635
 8.6429      0.045         19.411
 8.5714      0.051         22.123
 8.5000      0.057         24.755
 8.4286      0.063         27.287
 8.3571      0.069         29.687
 8.2857      0.075         31.906
 8.2143      0.082         33.856
 8.1429      0.088         35.355
 8.0714      0.094         35.898
 8.0000      0.100         30.911
