# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.600
 8.8571      0.026         12.897
 8.7857      0.032         17.143
 8.7143      0.038         21.330
 8.6429      0.045         25.447
 8.5714      0.051         29.479
 8.5000      0.057         33.406
 8.4286      0.063         37.202
 8.3571      0.069         40.824
 8.2857      0.075         44.205
 8.2143      0.082         47.226
 8.1429      0.088         49.638
 8.0714      0.094         50.725
 8.0000      0.100         41.539
