# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.508
 8.8571      0.026         12.705
 8.7857      0.032         16.851
 8.7143      0.038         20.936
 8.6429      0.045         24.949
 8.5714      0.051         28.876
 8.5000      0.057         32.698
 8.4286      0.063         36.385
 8.3571      0.069         39.897
 8.2857      0.075         43.165
 8.2143      0.082         46.072
 8.1429      0.088         48.369
 8.0714      0.094         49.353
 8.0000      0.100         41.007
