# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.299
 8.8571      0.026         10.009
 8.7857      0.032         11.693
 8.7143      0.038         13.348
 8.6429      0.045         14.967
 8.5714      0.051         16.545
 8.5000      0.057         18.070
 8.4286      0.063         19.529
 8.3571      0.069         20.903
 8.2857      0.075         22.159
 8.2143      0.082         23.241
 8.1429      0.088         24.036
 8.0714      0.094         24.240
 8.0000      0.100         21.947
