# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.496
 8.8571      0.026         12.686
 8.7857      0.032         16.824
 8.7143      0.038         20.903
 8.6429      0.045         24.909
 8.5714      0.051         28.830
 8.5000      0.057         32.645
 8.4286      0.063         36.326
 8.3571      0.069         39.832
 8.2857      0.075         43.094
 8.2143      0.082         45.996
 8.1429      0.088         48.289
 8.0714      0.094         49.270
 8.0000      0.100         40.942
