# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.196
 8.8571      0.026         11.470
 8.7857      0.032         14.701
 8.7143      0.038         17.883
 8.6429      0.045         21.007
 8.5714      0.051         24.060
 8.5000      0.057         27.028
 8.4286      0.063         29.887
 8.3571      0.069         32.603
 8.2857      0.075         35.122
 8.2143      0.082         37.347
 8.1429      0.088         39.078
 8.0714      0.094         39.751
 8.0000      0.100         33.701
