# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.004
 8.8571      0.026         10.388
 8.7857      0.032         12.738
 8.7143      0.038         15.048
 8.6429      0.045         17.312
 8.5714      0.051         19.519
 8.5000      0.057         21.657
 8.4286      0.063         23.708
 8.3571      0.069         25.646
 8.2857      0.075         27.427
 8.2143      0.082         28.978
 8.1429      0.088         30.145
 8.0714      0.094         30.514
 8.0000      0.100         26.974
