# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.089
 8.8571      0.026         10.785
 8.7857      0.032         13.445
 8.7143      0.038         16.060
 8.6429      0.045         18.625
 8.5714      0.051         21.128
 8.5000      0.057         23.556
 8.4286      0.063         25.888
 8.3571      0.069         28.096
 8.2857      0.075         30.132
 8.2143      0.082         31.914
 8.1429      0.088         33.271
 8.0714      0.094         33.734
 8.0000      0.100         29.388
