# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.942
 8.8571      0.026         10.671
 8.7857      0.032         13.363
 8.7143      0.038         16.011
 8.6429      0.045         18.608
 8.5714      0.051         21.143
 8.5000      0.057         23.601
 8.4286      0.063         25.964
 8.3571      0.069         28.201
 8.2857      0.075         30.265
 8.2143      0.082         32.072
 8.1429      0.088         33.452
 8.0714      0.094         33.929
 8.0000      0.100         29.496
