# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.012
 8.8571      0.026         10.832
 8.7857      0.032         13.614
 8.7143      0.038         16.351
 8.6429      0.045         19.035
 8.5714      0.051         21.657
 8.5000      0.057         24.200
 8.4286      0.063         26.646
 8.3571      0.069         28.963
 8.2857      0.075         31.104
 8.2143      0.082         32.981
 8.1429      0.088         34.421
 8.0714      0.094         34.930
 8.0000      0.100         30.207
